city_id,city_name,country,description
1,Milan,Italy,"Chic streets lined with fashion boutiques, historic architecture, and lively piazzas create a sophisticated yet welcoming atmosphere, perfect for leisurely exploration.| Region: europe|Budget: Luxury"
2,Yasawa Islands,Fiji,"Crystal-clear waters, secluded beaches, and vibrant coral reefs create a serene paradise perfect for unwinding and immersing in natural beauty.| Region: oceania|Budget: Luxury"
3,Whistler,Canada,"Snow-capped peaks and lush forests create a serene escape, where outdoor adventures meet cozy village vibes and crisp mountain air.| Region: north_america|Budget: Luxury"
4,Guanajuato,Mexico,"Winding cobblestone streets and colorful facades create a charming, vibrant atmosphere, where history and lively festivals fill the air with excitement.| Region: north_america|Budget: Mid-range"
5,Surabaya,Indonesia,"Bustling streets filled with the aroma of local spices, vibrant markets, and a rich cultural tapestry invite exploration and discovery.| Region: asia|Budget: Budget"
6,Nuuk,Greenland,"Rugged landscapes meet the calm of icy fjords, where the crisp air and vibrant local culture create a unique Arctic charm.| Region: north_america|Budget: Luxury"
7,Windhoek,Namibia,"A blend of modernity and tradition, with bustling markets, German colonial architecture, and the vast Namibian landscape providing a unique backdrop.| Region: africa|Budget: Mid-range"
8,Kingston,Jamaica,"Vibrant streets pulse with reggae rhythms, while lush hills and beaches offer a serene escape, creating a captivating blend of energy and tranquility.| Region: north_america|Budget: Mid-range"
9,Nafplio,Greece,"Charming cobblestone streets, vibrant bougainvillea, and the gentle sea breeze create a serene atmosphere perfect for leisurely exploration and relaxation.| Region: europe|Budget: Mid-range"
10,Tbilisi,Georgia,"Cobblestone streets wind through eclectic neighborhoods, where vibrant markets and ancient architecture create a welcoming blend of history and modern charm.| Region: asia|Budget: Budget"
11,Heidelberg,Germany,"Cobblestone streets lined with charming old buildings and the gentle flow of the Neckar River create an inviting, romantic atmosphere.| Region: europe|Budget: Mid-range"
12,Hobart,Australia,"Charming waterfront views and a laid-back vibe invite exploration through historic streets, bustling markets, and the surrounding natural beauty of rugged landscapes.| Region: oceania|Budget: Mid-range"
